run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,view_history,task,correct_response,accuracy,screen_id,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version,study_id,session_id,group,question_order,block,correct
6,1,"""","""","""","""","""",html-keyboard-response,31,40394,0.0-3.0-2.0-2.8,"""",null,INCORRECT!,null,"""","""","""","""",feedback,2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",image-keyboard-response,32,41146,0.0-3.0-2.0-0.9,"""",null,img/fixation.png,null,"""",fixation,"""","""","""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",image-keyboard-response,33,41750,0.0-3.0-2.0-1.9,"""",603.0000000000073,img/flower_right.png,f,"""",practice,f,1,"""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",html-keyboard-response,34,42751,0.0-3.0-2.0-2.9,"""",null,CORRECT!,null,"""","""","""","""",feedback,2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
28,1,true,"""","""","""","""",fullscreen,0,5835,0.0-0.0,"""","""","""","""","""","""","""","""","""",2021-11-15 03:34:31,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,OS X,10_15_7,fc80173b241c556346404f5d33b3977b,"""","""",EASY,"""",""""
28,1,true,false,[],[],[],preload,1,7390,0.0-1.0,"""","""","""","""","""","""","""","""","""",2021-11-15 03:34:31,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,OS X,10_15_7,fc80173b241c556346404f5d33b3977b,"""","""",EASY,"""",""""
28,1,"""","""","""","""","""",html-button-response,2,9711,0.0-2.0,"""",2319.8000000715256,<p>Welcome! Thank you so much for participating in this study. Press START to begin.</p><br>,0,"""","""","""","""","""",2021-11-15 03:34:31,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,OS X,10_15_7,fc80173b241c556346404f5d33b3977b,"""","""",EASY,"""",""""
28,1,"""","""","""","""","""",html-button-response,3,21371,0.0-3.0,"""",11658.800000071526,"<p>First, you will review a series of hypothetical scenarios each related to finances</p><br><p>Please think about each scenario carefully for approximately <strong>one minute</strong>.</p><br><p>Please reflect and process the scenario as if it were actually happening. Questions will be there to help guide your thinking.</p><p>When you are ready to begin, please press REVIEW to begin the study.",0,"""","""","""","""","""",2021-11-15 03:34:31,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,OS X,10_15_7,fc80173b241c556346404f5d33b3977b,"""","""",EASY,"""",""""
28,1,"""","""","""","""","""",image-keyboard-response,4,23641,0.0-4.0-0.0,"""",null,img/fixation.png,null,"""",fixation,"""","""","""",2021-11-15 03:34:31,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,OS X,10_15_7,fc80173b241c556346404f5d33b3977b,"""","""",EASY,"""",""""
28,1,"""","""","""","""","""",image-keyboard-response,5,53647,0.0-4.0-1.0,"""",null,scarcity/easy/scenario3.png,null,"""","""","""","""","""",2021-11-15 03:34:31,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,OS X,10_15_7,fc80173b241c556346404f5d33b3977b,"""","""",EASY,"""",""""
