run_id,condition,success,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,group,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,task,question_order,view_history,correct_response,accuracy,screen_id,block,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
28,1,"""",image-keyboard-response,76,279171,0.0-12.0-1.1,"""","""","""",EASY,"""","""","""","""",616.5,img/heart_left.png,f,response,"""","""",f,1,"""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,77,280677,0.0-12.0-0.2,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,78,281301,0.0-12.0-1.2,"""","""","""",EASY,"""","""","""","""",623.4000000953674,img/heart_right.png,j,response,"""","""",j,1,"""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,79,282808,0.0-12.0-0.3,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,80,283568,0.0-12.0-1.3,"""","""","""",EASY,"""","""","""","""",756.7000000476837,img/heart_right.png,j,response,"""","""",j,1,"""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,81,284573,0.0-12.0-0.4,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,82,285266,0.0-12.0-1.4,"""","""","""",EASY,"""","""","""","""",691.5,img/heart_left.png,f,response,"""","""",f,1,"""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,83,286270,0.0-12.0-0.5,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,84,286870,0.0-12.0-1.5,"""","""","""",EASY,"""","""","""","""",598.0999999046326,img/heart_right.png,j,response,"""","""",j,1,"""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,85,288875,0.0-12.0-0.6,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,86,289340,0.0-12.0-1.6,"""","""","""",EASY,"""","""","""","""",449.3000000715256,img/heart_right.png,j,response,"""","""",j,1,"""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,87,290346,0.0-12.0-0.7,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,88,290995,0.0-12.0-1.7,"""","""","""",EASY,"""","""","""","""",647.5,img/flower_left.png,j,response,"""","""",j,1,"""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,89,291499,0.0-12.0-0.8,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,90,292131,0.0-12.0-1.8,"""","""","""",EASY,"""","""","""","""",631.2000000476837,img/flower_left.png,j,response,"""","""",j,1,"""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
